"id_origin","hour","dow","viajes"
"0827905",22,1,20701.749
"0827905",22,2,22041.642
"0827905",22,3,21779.787
"0827905",22,4,21643.234
"0827905",22,5,22420.734
"0827905",22,6,19681.385
"0827905",22,7,18709.192
"0827905",23,1,13254.298
"0827905",23,2,14744.071
"0827905",23,3,14628.748
"0827905",23,4,14788.458
"0827905",23,5,16845.11
"0827905",23,6,16632.059
"0827905",23,7,13319.291
"0827906",0,1,12186.541
"0827906",0,2,11259.924
"0827906",0,3,11293.503
"0827906",0,4,11298.983
"0827906",0,5,11760.02
"0827906",0,6,13959.654
"0827906",0,7,15940.13
"0827906",1,1,6545.089
"0827906",1,2,5642.035
"0827906",1,3,6244.385
"0827906",1,4,6037.191
"0827906",1,5,5522.465
"0827906",1,6,8379.487
"0827906",1,7,9340.449
"0827906",2,1,4901.836
"0827906",2,2,4092.276
"0827906",2,3,4396.142
"0827906",2,4,4757.071
"0827906",2,5,4244.865
"0827906",2,6,5684.113
"0827906",2,7,6169.626
"0827906",3,1,3777.879
"0827906",3,2,3636.381
"0827906",3,3,3540.58
"0827906",3,4,4396.519
"0827906",3,5,3732.954
"0827906",3,6,4713.116
"0827906",3,7,5005.733
"0827906",4,1,4712.117
"0827906",4,2,5073.545
"0827906",4,3,5024.473
"0827906",4,4,4927.705
"0827906",4,5,4949.492
"0827906",4,6,4657.995
"0827906",4,7,4903.391
"0827906",5,1,10472.698
"0827906",5,2,11587.372
"0827906",5,3,11683.089
"0827906",5,4,12017.379
"0827906",5,5,11315.137
"0827906",5,6,6677.088
"0827906",5,7,6159.31
"0827906",6,1,18966.691
"0827906",6,2,21543.019
"0827906",6,3,21807.732
"0827906",6,4,21152.7
"0827906",6,5,21946.969
"0827906",6,6,11321.682
"0827906",6,7,10146.409
"0827906",7,1,28149.769
"0827906",7,2,34675.396
"0827906",7,3,33915.808
"0827906",7,4,34723.377
"0827906",7,5,33565.621
"0827906",7,6,15669.934
"0827906",7,7,12044.331
"0827906",8,1,28210.257
"0827906",8,2,33242.175
"0827906",8,3,33333.368
"0827906",8,4,32146.062
"0827906",8,5,31967.478
"0827906",8,6,19725.099
"0827906",8,7,15435.024
"0827906",9,1,26208.743
"0827906",9,2,29037.26
"0827906",9,3,28893.794
"0827906",9,4,28405.315
"0827906",9,5,28585.416
"0827906",9,6,24643.356
"0827906",9,7,19430.726
"0827906",10,1,24909.43
"0827906",10,2,25839.149
"0827906",10,3,26519.318
"0827906",10,4,25019.723
"0827906",10,5,25896.735
"0827906",10,6,28422.363
"0827906",10,7,24478.136
"0827906",11,1,25202.371
